,NAME,STATE,STATEFP,COUNTYFP,NAMELSAD,POINT,SITE
2070,Wood,West Virginia,54,107,Wood County,POINT (-81.267853 39.267891),50084
2071,Bayfield,,55,007,Bayfield County,POINT (-91.3862 46.792488),114796
2072,Bayfield,Wisconsin,55,007,Bayfield County,POINT (-90.92718499999999 46.157509),112236
2073,Bayfield,Wisconsin,55,007,Bayfield County,POINT (-90.948914 46.214458),112515
2074,Stewart,Tennessee,47,161,Stewart County,POINT (-87.858734 36.414261),28205
2075,Portage,Wisconsin,55,097,Portage County,POINT (-89.27398700000001 44.670837),104118
2076,Portage,Wisconsin,55,097,Portage County,POINT (-89.401855 44.248592),99269
2077,Portage,Wisconsin,55,097,Portage County,POINT (-89.375946 44.247055),99270
2078,Lexington,South Carolina,45,063,Lexington County,POINT (-81.308807 33.754326),16182
2079,Lexington,South Carolina,45,063,Lexington County,POINT (-81.28723100000001 33.750996),16183
2080,Lexington,South Carolina,45,063,Lexington County,POINT (-81.265625 33.747658),16184
2081,Anne Arundel,,24,003,Anne Arundel County,POINT (-76.438293 38.90723),54084
2082,Anne Arundel,,24,003,Anne Arundel County,POINT (-76.44412199999999 38.965565),54679
2083,Anne Arundel,,24,003,Anne Arundel County,POINT (-76.48455800000001 38.992466),54892
2084,Fond du Lac,Wisconsin,55,039,Fond du Lac County,POINT (-88.710114 43.738033),92802
2085,Fond du Lac,Wisconsin,55,039,Fond du Lac County,POINT (-88.684448 43.73634),92803
2086,Fond du Lac,Wisconsin,55,039,Fond du Lac County,POINT (-88.658783 43.734638),92804
2087,Webster,West Virginia,54,101,Webster County,POINT (-80.332367 38.35545),45486
2088,Webster,West Virginia,54,101,Webster County,POINT (-80.600983 38.434486),45693
2089,Webster,West Virginia,54,101,Webster County,POINT (-80.30465700000001 38.369972),45594
2090,Kewaunee,,55,061,Kewaunee County,POINT (-87.53591900000001 44.328365),101748
2091,Kewaunee,,55,061,Kewaunee County,POINT (-87.53317300000001 44.346886),101971
2092,Kewaunee,,55,061,Kewaunee County,POINT (-87.496216 44.418995),102753
2093,Parmer,Texas,48,369,Parmer County,POINT (-103.035706 34.711357),16634
2094,Parmer,Texas,48,369,Parmer County,POINT (-103.037659 34.729588),16752
2095,Parmer,Texas,48,369,Parmer County,POINT (-103.015442 34.731194),16753
2096,Woods,Oklahoma,40,151,Woods County,POINT (-99.19296300000001 36.935749),30161
2097,Woods,Oklahoma,40,151,Woods County,POINT (-99.16995199999999 36.936489),30162
2098,Woods,Oklahoma,40,151,Woods County,POINT (-99.146912 36.937214),30163
